Source,Proficiency,Category,Kanji,Kana,Romaji,English,Date,Homonym,IsDup
JLPT N5,5-later,adverb,あの,あの,ano,that (over there),,,
JLPT N5,5-later,adverb,あの,あの,ano,"well, then",,Y,
JLPT N5,5-later,verb,浴びる,あびる,abiru,to take a shower,,,
JLPT N5,5-later,adverb,あまり,あまり,amari,not so,,,
JLPT N5,5-later,verb,洗う,あらう,arau,to wash,,,
JLPT N5,5-later,verb,有る,ある,aru,"to be, to exist",,,
JLPT N5,5-later,verb,ある,ある,aru,to possess,,Y,
JLPT N5,5-later,adverb,あれ,あれ,are,that one,,,
JLPT N5,5-later,verb,言う,いう,iu,"to say, to tell",,,
JLPT N5,5-later,noun,家,いえ,ie,"house, home",,y,
JLPT N5,5-later,adverb,いくつ,いくつ,ikutsu,"how many, how old",,,
JLPT N5,5-later,noun,池,いけ,ike,pond,,,
JLPT N5,5-later,adjective,忙しい,いそがしい,isogashī,to be busy,,,
JLPT N5,4-new,time,一月,いちがつ,ichigatsu,January,2025-12-19,y,
JLPT N5,5-later,time,一日,いちにち,ichinichi,one day,,y,
JLPT N5,4-new,time,五日,いつか,itsuka,"the 5th day of the month, 5 days",2025-12-19,,
JLPT N5,5-later,adverb,一緒,いっしょ,issho,together,,,
JLPT N5,5-later,number,五つ,いつつ,itsutsu,five,,,
JLPT N5,5-later,adverb,いつも,いつも,itsumo,always,,,
JLPT N5,5-later,noun,意味,いみ,imi,meaning,,,
JLPT N5,5-later,noun,妹,いもうと,imōto,someone’s younger sister,,,
JLPT N5,5-later,adjective,いや,いや,iya,"not likable, unpleasant",,,
JLPT N5,5-later,verb,,いる,iru,"need, must have, be required",,Y,
JLPT N5,5-later,verb,入れる,いれる,ireru,"to insert, to put in",,,
JLPT N5,5-later,noun,後ろ,うしろ,ushiro,"back, rear, behind",,,
JLPT N5,5-later,adjective,薄い,うすい,usui,thin,,,
JLPT N5,5-later,noun,歌,うた,uta,song,,,
JLPT N5,5-later,verb,歌う,うたう,utau,to sing,,,
JLPT N5,5-later,verb,生まれる,うまれる,umareru,to be born,,,
JLPT N5,5-later,noun,海,うみ,umi,sea,,,
JLPT N5,5-later,verb,売る,うる,uru,to sell,,,
JLPT N5,5-later,noun,上着,うわぎ,uwagi,"coat, jacket",,,
Busuu,5-later,noun,運動（する）,うんどう（する）,undō（suru）,(to) exercise,,,
JLPT N5,5-later,noun,絵,え,e,picture,,,
JLPT N5,5-later,noun,映画,えいが,ēga,movie,,,
JLPT N5,5-later,noun,映画館,えいがかん,ēgakan,cinema,,,
JLPT N5,5-later,noun,,エレベータ,erebēta,elevator,,,
JLPT N5,5-later,noun,,おおぜい,ōzē,many people,,,
JLPT N5,5-later,noun,お菓子,おかし,okashi,"confectionary, cake",,,
JLPT N5,5-later,verb,置く,おく,oku,"to put, to place",,,
JLPT N5,5-later,verb,送る,おくる,okuru,to send,,,
JLPT N5,5-later,noun,お皿,おさら,osara,plate,,,
JLPT N5,5-later,noun,おじいさん,おじいさん,ojīsan,grand father,,,
JLPT N5,5-later,noun,伯父さん,おじさん,ojisan,uncle,,,
JLPT N5,5-later,verb,押す,おす,osu,to push,,,
JLPT N5,5-later,adjective,遅い,おそい,osoi,"late, slow",,,
JLPT N5,5-later,noun,お手洗い,おてあらい,otearai,"toilet, lavatory",,,
JLPT N5,5-later,noun,お父さん,おとうさん,otōsan,father,,,
JLPT N5,5-later,noun,弟,おとうと,otōto,someone’s younger brother,,,
JLPT N5,5-later,noun,男,おとこ,otoko,man,,,
JLPT N5,5-later,noun,男の子,おとこのこ,otokonoko,boy,,,
JLPT N5,5-later,noun,大人,おとな,otona,adult,,,
JLPT N5,5-later,noun,お兄さん,おにいさん,onīsan,someone’s elder brother,,,
JLPT N5,5-later,noun,お肉,おにく,oniku,meat,,,
JLPT N5,5-later,noun,お姉さん,おねえさん,onēsan,someone’s elder sister,,,
JLPT N5,5-later,noun,,おばあさん,obāsan,grandmother,,,
JLPT N5,5-later,noun,伯母さん,おばさん,obasan,aunt,,,
JLPT N5,5-later,verb,覚える,おぼえる,oboeru,"to memorize, to remember",,,
JLPT N5,5-later,verb,泳ぐ,およぐ,oyogu,to swim,,,
JLPT N5,5-later,verb,降りる,おりる,oriru,to get off,,,
JLPT N5,5-later,noun,音楽,おんがく,ongaku,music,,,
JLPT N5,5-later,noun,外国,がいこく,gaikoku,foreign country,,,
JLPT N5,5-later,noun,外国人,がいこくじん,gaikokujin,foreigner,,,
JLPT N5,5-later,noun,買物,かいもの,kaimono,shopping,,,
JLPT N5,5-later,verb,買う,かう,kau,to buy,,,
JLPT N5,5-later,verb,返す,かえす,kaesu,to return an object,,,
JLPT N5,5-later,body,顔,かお,kao,face,,,
JLPT N5,5-later,verb,,かかる,kakaru,"to take time, money",,,
JLPT N5,5-later,verb,書く,かく,kaku,to write,,,
JLPT N5,5-later,verb,,かける,kakeru,to make a phone call,,,
JLPT N5,5-later,verb,,かける,kakeru,to wear,,Y,
JLPT N5,5-later,verb,貸す,かす,kasu,to lend,,,
JLPT N5,5-later,noun,風邪,かぜ,kaze,a cold,,,
JLPT N5,5-later,noun,風,かぜ,kaze,wind,,Y,
JLPT N5,5-later,noun,方,かた,kata,person (polite),,y,
JLPT N5,5-later,noun,角,かど,kado,corner,,,
JLPT N5,5-later,noun,花瓶,かびん,kabin,vase,,,
JLPT N5,5-later,verb,冠る,かぶる,kaburu,to put on a hat,,,
JLPT N5,5-later,body,体,からだ,karada,body,,,
JLPT N5,5-later,verb,借りる,かりる,kariru,to borrow,,,
JLPT N5,5-later,adjective,軽い,かるい,karui,light (not heavy),,,
JLPT N5,5-later,noun,,カレンダー,karendā,calendar,,,
Busuu,5-later,noun,観光（する）,かんこう（する）,kankō（suru）,sightseeing,,,
JLPT N5,5-later,color,黄色い,きいろい,kīroi,yellow,,,
JLPT N5,5-later,verb,消える,きえる,kieru,"to go out, to vanish",,,
JLPT N5,5-later,verb,聞く,きく,kiku,"to hear, to listen, to ask",,,
JLPT N5,5-later,noun,,ギター,gitā,guitar,,,
JLPT N5,5-later,adjective,汚い,きたない,kitanai,dirty,,,
JLPT N5,5-later,noun,喫茶店,きっさてん,kissaten,coffee shop,,,
JLPT N5,5-later,noun,切手,きって,kitte,stamp,,,
JLPT N5,5-later,noun,切符,きっぷ,kippu,ticket,,,
JLPT N5,5-later,noun,牛肉,ぎゅうにく,gyūniku,beef,,,
JLPT N5,5-later,noun,牛乳,ぎゅうにゅう,gyūnyū,milk,,,
JLPT N5,5-later,noun,兄弟,きょうだい,kyōdai,siblings,,,
JLPT N5,5-later,adjective,嫌い,きらい,kirai,"unpleasant, not likable",,,
JLPT N5,5-later,verb,着る,きる,kiru,"to wear, to put on",,Y,
JLPT N5,5-later,misc,,キロ,kiro,kg,,,
JLPT N5,5-later,misc,,キロ,kiro,km,,Y,
JLPT N5,4-new,time,九月,くがつ,kugatsu,September,2025-12-19,,
JLPT N5,5-later,noun,薬,くすり,kusuri,medicine,,,
JLPT N5,5-later,noun,果物,くだもの,kudamono,fruit,,,
JLPT N5,5-later,noun,靴下,くつした,kutsushita,socks,,,
JLPT N5,5-later,noun,曇り,くもり,kumori,cloudy weather,,,
JLPT N5,5-later,adjective,暗い,くらい,kurai,dark,,,
JLPT N5,5-later,adverb,ぐらい,ぐらい,gurai,about,,,
JLPT N5,5-later,noun,,クラス,kurasu,class,,,
JLPT N5,5-later,noun,,グラム,guramu,gram,,,
JLPT N5,5-later,color,黒い,くろい,kuroi,black,,,
Busuu,5-later,noun,,ゲーム,gēmu,game,,,
JLPT N5,5-later,time,今朝,けさ,kesa,this morning,,,
JLPT N5,5-later,verb,消す,けす,kesu,"to turn off, switch off",,,
JLPT N5,5-later,noun,結婚,けっこん,kekkon,marriage,,,
JLPT N5,5-later,noun,玄関,げんかん,genkan,entrance of a house,,,
JLPT N5,5-later,noun,,コート,kōto,coat,,,
Busuu,5-later,noun,高校,こうこうせい,kōkōsē,highschool student,,,
JLPT N5,5-later,noun,交番,こうばん,kōban,police box,,,
JLPT N5,5-later,noun,声,こえ,koe,voice,,,
JLPT N5,4-new,time,五月,ごがつ,gogatsu,May,2025-12-19,,
JLPT N5,5-later,noun,九日,ここのか,kokonoka,"9th day of a month, 9 days",,,
JLPT N5,5-later,number,九つ,ここのつ,kokonotsu,nine,,,
JLPT N5,5-later,noun,ご主人,ごしゅじん,goshujin,someone else’s husband,,,
JLPT N5,5-later,verb,答える,こたえる,kotaeru,to answer,,,
JLPT N5,5-later,adverb,こちら,こちら,kochira,"this side, this place",,,
JLPT N5,5-later,noun,言葉,ことば,kotoba,"phrase, language",,,
JLPT N5,5-later,verb,困る,こまる,komaru,to be in trouble,,,
JLPT N5,5-later,adverb,ごろ,ごろ,goro,around…,,,
JLPT N5,5-later,adverb,こんな,こんな,konna,"this sort of, this kind of",,,
JLPT N5,5-later,adverb,さあ,さあ,sā,well…,,,
JLPT N5,5-later,noun,先,さき,saki,"earlier, former",,,
JLPT N5,5-later,verb,咲く,さく,saku,to blossom,,,
JLPT N5,5-later,noun,作文,さくぶん,sakubun,"composition, essay",,,
JLPT N5,5-later,verb,,さす,sasu,to open an umbrella,,,
JLPT N5,5-later,noun,砂糖,さとう,satō,sugar,,,
JLPT N5,4-new,time,三月,さんがつ,sangatsu,March,2025-12-19,,
JLPT N5,5-later,noun,散歩,さんぽ,sanpo,walk; stroll,,,
JLPT N5,5-later,noun,塩,しお,shio,salt,,,
JLPT N5,5-later,adverb,しかし,しかし,shikashi,"however, but",,,
JLPT N5,4-new,time,四月,しがつ,shigatsu,April,2025-12-19,,
JLPT N5,5-later,noun,時間,じかん,jikan,time,,,
JLPT N5,5-later,adjective,静か,しずか,shizuka,quiet,,,
JLPT N5,4-new,time,七月,しちがつ,shichigatsu,July,2025-12-19,,
JLPT N5,5-later,noun,自動車,じどうしゃ,jidōsha,"car, vehicle",,,
JLPT N5,5-later,verb,死ぬ,しぬ,shinu,"to die, to pas away",,,
JLPT N5,5-later,noun,字引,じびき,jibiki,dictionary,,,
JLPT N5,5-later,noun,自分,じぶん,jibun,oneself,,,
JLPT N5,5-later,verb,閉まる,しまる,shimaru,to close,,,
JLPT N5,5-later,verb,閉める,しめる,shimeru,to close,,,
JLPT N5,5-later,verb,締める,しめる,shimeru,to fasten a seatbelt,,Y,
JLPT N5,5-later,noun,写真,しゃしん,shashin,photo,,,
JLPT N5,5-later,noun,,シャツ,shatsu,shirt,,,
JLPT N5,4-new,time,十一月,じゅういちがつ,jūichigatsu,November,2025-12-19,,
JLPT N5,4-new,time,十月,じゅうがつ,jūgatsu,October,2025-12-19,,
JLPT N5,4-new,time,十二月,じゅうにがつ,jūnigatsu,December,2025-12-19,,
JLPT N5,5-later,noun,授業,じゅぎょう,jugyō,"lesson, class",,,
JLPT N5,5-later,noun,宿題,しゅくだい,shukudai,homework,,,
JLPT N5,5-later,verb,丈夫,じょうぶ,jōbu,"to be strong, durable",,,
JLPT N5,5-later,verb,知る,しる,shiru,to know,,,
JLPT N5,5-later,verb,吸う,すう,sū,"to breathe, to smoke",,,
JLPT N5,5-later,noun,,スカート,sukāto,skirt,,,
JLPT N5,5-later,adverb,すぐに,すぐに,suguni,at once,,,
JLPT N5,5-later,adjective,涼しい,すずしい,suzushī,cool,,,
JLPT N5,5-later,noun,,ストーブ,sutōbu,"stove, heater",,,
JLPT N5,5-later,noun,,スプーン,supūn,spoon,,,
JLPT N5,5-later,noun,,スポーツ,supōtsu,sports,,,
JLPT N5,5-later,noun,,ズボン,zubon,trousers,,,
JLPT N5,5-later,verb,住む,すむ,sumu,"to live, to reside somewhere",,,
JLPT N5,5-later,noun,,スリッパ,surippa,slipper,,,
JLPT N5,5-later,verb,座る,すわる,suwaru,to sit,,,
JLPT N5,5-later,noun,,セーター,sētā,sweater,,,
JLPT N5,5-later,noun,背,せい,sē,height,,,
JLPT N5,5-later,noun,生徒,せいと,sēto,student,,,
JLPT N5,5-later,noun,石鹸,せっけん,sekken,soap,,,
JLPT N5,5-later,noun,背広,せびろ,sebiro,"jacket, suit",,,
JLPT N5,5-later,adjective,狭い,せまい,semai,narrow,,,
JLPT N5,5-later,number,ゼロ,ゼロ,zero,zero,,,
JLPT N5,5-later,verb,洗濯,せんたく,sentaku,"washing, to wash",,,
Busuu,5-later,noun,,せんべい,senbē,rice cracker,,,
JLPT N5,5-later,verb,掃除,そうじ,sōji,to clean,,,
JLPT N5,5-later,adverb,そちら,そちら,sochira,there (polite),,,
JLPT N5,5-later,adverb,外,そと,soto,outside,,,
JLPT N5,5-later,adverb,そば,そば,soba,next to,,,
JLPT N5,5-later,noun,空,そら,sora,sky,,,
JLPT N5,5-later,adverb,それから,それから,sorekara,after that,,,
JLPT N5,5-later,adverb,それでは,それでは,soredeha,"then, well",,,
JLPT N5,5-later,noun,大使館,たいしかん,taishikan,embassy,,,
JLPT N5,5-later,adverb,大切,たいせつ,taisetsu,very important,,,
JLPT N5,5-later,adverb,,たいてい,taitē,"mostly, usually",,,
JLPT N5,5-later,noun,台所,だいどころ,daidokoro,kitchen,,,
JLPT N5,5-later,verb,出す,だす,dasu,"to take out, hand in",,,
JLPT N5,5-later,verb,立つ,たつ,tatsu,to stand,,,
JLPT N5,5-later,noun,建物,たてもの,tatemono,building,,,
JLPT N5,5-later,verb,頼む,たのむ,tanomu,"to ask, to request",,,
JLPT N5,5-later,adverb,だんだん,だんだん,dandan,gradually,,,
JLPT N5,5-later,adjective,近い,ちかい,chikai,"near, close",,,
JLPT N5,5-later,adverb,違う,ちがう,chigau,different,,,
JLPT N5,5-later,noun,地図,ちず,chizu,map,,,
JLPT N5,5-later,noun,父,ちち,chichi,my father,,,
JLPT N5,5-later,color,茶色,ちゃいろ,chairo,brown,,,
JLPT N5,5-later,noun,茶碗,ちゃわん,chawan,rice bowl,,,
JLPT N5,5-later,adverb,ちょうど,ちょうど,chōdo,just,,,
JLPT N5,4-new,time,一日,ついたち,tsuitachi,the 1st day of a month,2025-12-19,y,
JLPT N5,5-later,verb,使う,つかう,tsukau,to use,,,
JLPT N5,5-later,verb,疲れる,つかれる,tsukareru,to get tired,,,
JLPT N5,5-later,verb,着く,つく,tsuku,to arrive,,,
JLPT N5,5-later,verb,作る,つくる,tsukuru,"to make, to produce",,,
JLPT N5,5-later,verb,点ける,つける,tsukeru,to turn on,,,
JLPT N5,5-later,verb,勤める,つとめる,tsutomeru,to work for someone,,,
JLPT N5,5-later,adjective,詰らない,つまらない,tsumaranai,uninteresting,,,
JLPT N5,5-later,adjective,冷たい,つめたい,tsumetai,cold,,,
JLPT N5,5-later,adjective,強い,つよい,tsuyoi,strong,,,
JLPT N5,5-later,noun,,テープ,tēpu,tape,,,
JLPT N5,5-later,noun,,テープレコーダー,tēpurekōdā,tape recorder,,,
JLPT N5,5-later,verb,出かける,でかける,dekakeru,to go out,,,
JLPT N5,5-later,noun,手紙,てがみ,tegami,letter,,,
JLPT N5,5-later,verb,出ます,でます,demasu,to leave,,,
JLPT N5,5-later,noun,電気,でんき,denki,electricity,,,
JLPT N5,5-later,noun,戸,と,to,door,,,
JLPT N5,5-later,noun,動物,どうぶつ,dōbutsu,animal,,,
JLPT N5,5-later,number,十,とお,tō,ten,,y,
JLPT N5,5-later,adjective,遠い,とおい,tōi,far,,,
JLPT N5,4-new,time,十日,とおか,tōka,"the 10th day of a month, 10 days",2025-12-19,,
JLPT N5,5-later,adverb,時々,ときどき,tokidoki,sometimes,,,
JLPT N5,5-later,noun,所,ところ,tokoro,place,,,
JLPT N5,5-later,adverb,どちら,どちら,dochira,"which, where (polite)",,,
JLPT N5,5-later,adverb,どなた,どなた,donata,who (polite),,,
JLPT N5,5-later,adverb,隣り,となり,tonari,next to,,,
JLPT N5,5-later,adverb,どの,どの,dono,which?,,,
JLPT N5,5-later,verb,飛ぶ,とぶ,tobu,to fly,,,
JLPT N5,5-later,noun,鶏肉,とりにく,toriniku,chicken meat,,,
JLPT N5,5-later,verb,取る,とる,toru,to take,,,
JLPT N5,5-later,verb,撮る,とる,toru,to take a photo,,Y,
JLPT N5,5-later,adverb,どんな,どんな,donna,what kind of?,,,
JLPT N5,5-later,verb,鳴く,なく,naku,"to sing, mew, moo",,,
JLPT N5,5-later,time,夏,なつ,natsu,summer,,,
JLPT N5,5-later,noun,夏休み,なつやすみ,natsuyasumi,summer vacation,,,
JLPT N5,5-later,number,七つ,ななつ,nanatsu,seven,,,
JLPT N5,4-new,time,七日,なのか,nanoka,"the 7th of a month, 7 days",2025-12-19,,
JLPT N5,5-later,verb,習う,ならう,narau,to learn,,,
JLPT N5,5-later,verb,並ぶ,ならぶ,narabu,to form a line,,,
JLPT N5,5-later,verb,並べる,ならべる,naraberu,to line up,,,
JLPT N5,5-later,verb,,なる,naru,to become,,,
JLPT N5,4-new,time,二月,にがつ,nigatsu,February,2025-12-19,,
JLPT N5,5-later,adverb,賑やか,にぎやか,nigiyaka,lively,,,
JLPT N5,5-later,noun,荷物,にもつ,nimotsu,luggage,,,
JLPT N5,5-later,noun,,ニュース,nyūsu,news,,,
JLPT N5,5-later,noun,庭,にわ,niwa,garden,,,
JLPT N5,5-later,verb,脱ぐ,ぬぐ,nugu,to take off clothes,,,
JLPT N5,5-later,verb,登る,のぼる,noboru,to climb up,,,
JLPT N5,5-later,verb,乗る,のる,noru,"to take, to ride",,,
JLPT N5,5-later,body,歯,は,ha,teeth,,,
JLPT N5,5-later,noun,,パーテイー,pāteī,party,,,
JLPT N5,5-later,noun,灰皿,はいざら,haizara,ashtray,,,
JLPT N5,5-later,verb,入る,はいる,hairu,to enter,,,
JLPT N5,5-later,noun,葉書,はがき,hagaki,postcard,,,
JLPT N5,5-later,verb,履く,はく,haku,to put on shoes,,,
JLPT N5,5-later,noun,箱,はこ,hako,box,,,
JLPT N5,5-later,verb,始まる,はじまる,hajimaru,"to begin, to start",,,
JLPT N5,5-later,noun,始め,はじめ,hajime,"start, the beginning",,,
JLPT N5,5-later,adverb,初めて,はじめて,hajimete,for the first time,,,
JLPT N5,5-later,verb,走る,はしる,hashiru,to run,,,
JLPT N5,5-later,noun,,バター,batā,butter,,,
JLPT N5,5-later,time,二十歳,はたち,hatachi,20 years old,,,
JLPT N5,4-new,time,八月,はちがつ,hachigatsu,August,2025-12-19,,
JLPT N5,4-new,time,二十日,はつか,hatsuka,"the 20th of the month, 20 days",2025-12-19,,
JLPT N5,5-later,noun,話,はなし,hanashi,"conversation, tale",,,
JLPT N5,5-later,noun,母,はは,haha,my mother,,,
JLPT N5,5-later,time,春,はる,haru,spring,,,
JLPT N5,5-later,verb,張る,はる,haru,"to put something on, to stick",,Y,
JLPT N5,5-later,verb,晴れる,はれる,hareru,to clear up,,,
JLPT N5,5-later,noun,,ハンカチ,hankachi,handkerchief,,,
JLPT N5,5-later,noun,番号,ばんごう,bangō,number,,,
JLPT N5,5-later,number,半分,はんぶん,hanbun,half,,,
JLPT N5,5-later,verb,弾く,ひく,hiku,to play (an instrument),,,
JLPT N5,5-later,verb,引く,ひく,hiku,to pull,,Y,
JLPT N5,5-later,adjective,低い,ひくい,hikui,low,,,
JLPT N5,5-later,number,一つ,ひとつ,hitotsu,one,,,
JLPT N5,5-later,time,一月,ひとつき,hitotsuki,one month,,y,
JLPT N5,5-later,noun,一人,ひとり,hitori,one person,,,
JLPT N5,5-later,noun,暇,ひま,hima,"free time, leisure",,,
JLPT N5,5-later,adjective,病気,びょうき,byōki,"ill, sick",,,
JLPT N5,5-later,noun,昼ご飯,ひるごはん,hirugohan,lunch,,,
JLPT N5,5-later,adjective,広い,ひろい,hiroi,"wide, spacious",,,
JLPT N5,5-later,noun,,プール,pūru,pool,,,
JLPT N5,5-later,noun,,フィルム,firumu,film,,,
JLPT N5,5-later,noun,封筒,ふうとう,fūtō,envelope,,,
JLPT N5,5-later,noun,,フォーク,fōku,fork,,,
JLPT N5,5-later,noun,服,ふく,fuku,clothes,,,
JLPT N5,5-later,verb,吹く,ふく,fuku,to blow (wind),,Y,
JLPT N5,5-later,number,二つ,ふたつ,futatsu,two,,,
JLPT N5,5-later,noun,豚肉,ぶたにく,butaniku,pork,,,
JLPT N5,5-later,number,二人,ふたり,futari,two people,,,
JLPT N5,4-new,time,二日,ふつか,futsuka,"2nd day of the month, 2 days",2025-12-19,,
JLPT N5,5-later,adjective,太い,ふとい,futoi,"thick, fat",,,
JLPT N5,5-later,verb,降る,ふる,furu,"to fall (rain, snow)",,,
JLPT N5,5-later,adjective,古い,ふるい,furui,old,,,
JLPT N5,5-later,noun,,ページ,pēji,page,,,
JLPT N5,5-later,adjective,下手,へた,heta,not good at something,,,
JLPT N5,5-later,noun,,ベッド,beddo,bed,,,
JLPT N5,5-later,noun,辺,へん,hen,"side, part, area",,,
JLPT N5,5-later,adjective,便利,べんり,benri,convenient,,,
JLPT N5,5-later,misc,方,ほう,hō,~より〜のほうが〜 (better than),,y,
JLPT N5,5-later,adverb,他,ほか,hoka,"another, other",,,
JLPT N5,5-later,noun,,ポケット,poketto,pocket,,,
JLPT N5,5-later,adjective,欲しい,ほしい,hoshī,to want something,,,
JLPT N5,5-later,adjective,細い,ほそい,hosoi,"thin, fine",,,
JLPT N5,5-later,noun,,ボタン,botan,button,,,
JLPT N5,5-later,noun,本棚,ほんだな,hondana,bookshelf,,,
JLPT N5,5-later,adverb,本当に,ほんとうに,hontōni,really,,,
JLPT N5,5-later,verb,曲がる,まがる,magaru,to turn,,,
JLPT N5,5-later,adjective,不味い,まずい,mazui,bad tasting,,,
JLPT N5,5-later,adverb,また,また,mata,"also, again",,,
JLPT N5,5-later,noun,町,まち,machi,"city, town",,,
JLPT N5,5-later,verb,待つ,まつ,matsu,to wait,,,
JLPT N5,5-later,adverb,真直ぐに,まっすぐに,massuguni,straight ahead,,,
JLPT N5,5-later,noun,,マッチ,macchi,matches,,,
JLPT N5,5-later,noun,窓,まど,mado,window,,,
JLPT N5,5-later,adjective,丸い,まるい,marui,round,,,
JLPT N5,5-later,noun,万年筆,まんねんひつ,mannenhitsu,fountain pen,,,
JLPT N5,5-later,verb,磨く,みがく,migaku,"to polish, to brush",,,
JLPT N5,5-later,adjective,短い,みじかい,mijikai,short,,,
JLPT N5,5-later,verb,見せる,みせる,miseru,"to look, to watch",,,
JLPT N5,5-later,noun,道,みち,michi,road,,,
JLPT N5,4-new,time,三日,みっか,mikka,"3rd day of a month, 3 days",2025-12-19,,
JLPT N5,5-later,number,三つ,みっつ,mittsu,three,,,
JLPT N5,5-later,noun,皆さん,みなさん,minasan,everyone,,,
JLPT N5,4-new,time,六日,むいか,muika,"the 6th day of a month, 6 days",2025-12-19,,
JLPT N5,5-later,adverb,向こう,むこう,mukō,over there,,,
JLPT N5,5-later,adjective,難しい,むずかしい,muzukashī,difficult,,,
JLPT N5,5-later,number,六つ,むっつ,muttsu,six,,,
JLPT N5,5-later,noun,,メートル,mētoru,meter,,,
JLPT N5,5-later,adverb,もう,もう,mō,"already, yet",,Y,
JLPT N5,5-later,verb,持つ,もつ,motsu,"to have, to own",,,
JLPT N5,5-later,noun,問題,もんだい,mondai,"problem, question",,,
JLPT N5,5-later,noun,八百屋,やおや,yaoya,vegetable shop,,,
JLPT N5,5-later,adjective,優しい,やさしい,yasashī,gentle,,,
JLPT N5,5-later,adjective,安い,やすい,yasui,"cheap, inexpensive",,,
JLPT N5,5-later,noun,休み,やすみ,yasumi,"holiday, vacation",,,
JLPT N5,5-later,number,八つ,やっつ,yattsu,eight,,,
JLPT N5,5-later,verb,,やる,yaru,to do,,,
JLPT N5,4-new,time,八日,ようか,yōka,"8th day of the month, 8 days",2025-12-19,,
JLPT N5,5-later,noun,洋服,ようふく,yōfuku,western style clothing,,,
JLPT N5,5-later,adverb,よく,よく,yoku,often,,,
JLPT N5,5-later,adjective,横,よこ,yoko,horizontal,,,
JLPT N5,4-new,time,四日,よっか,yokka,"4th day of the month, 4 days",2025-12-19,,
JLPT N5,5-later,number,四つ,よっつ,yottsu,four,,,
JLPT N5,5-later,verb,呼ぶ,よぶ,yobu,to call,,,
JLPT N5,5-later,verb,読む,よむ,yomu,to read,,,
JLPT N5,5-later,noun,夜,よる,yoru,night,,,
JLPT N5,5-later,adjective,立派,りっぱ,rippa,splendid,,,
JLPT N5,5-later,noun,留学生,りゅうがくせい,ryūgakusē,foreign student,,,
JLPT N5,5-later,noun,両親,りょうしん,ryōshin,parents,,,
JLPT N5,5-later,noun,料理,りょうり,ryōri,cooking,,,
JLPT N5,5-later,noun,旅行,りょこう,ryokō,travel,,,
JLPT N5,5-later,number,,れい,rē,zero,,,
JLPT N5,5-later,noun,冷蔵庫,れいぞうこ,rēzōko,refrigerator,,,
JLPT N5,5-later,noun,,レコード,rekōdo,record,,,
JLPT N5,5-later,noun,練習,れんしゅう,renshū,practice,,,
JLPT N5,4-new,time,六月,ろくがつ,rokugatsu,June,2025-12-19,,
JLPT N5,5-later,noun,,ワイシャツ,waishatsu,white shirt,,,
JLPT N5,5-later,adjective,若い,わかい,wakai,young,,,
JLPT N5,5-later,verb,忘れる,わすれる,wasureru,to forget,,,
JLPT N5,5-later,verb,渡す,わたす,watasu,to hand over,,,
JLPT N5,5-later,verb,渡る,わたる,wataru,to cross,,,
JLPT N5,5-later,adjective,悪い,わるい,warui,bad,,,